performer,main_artist_suggested
Gwen Guthrie,Gwen Guthrie
Chris Christian (with Amy Holland),Chris Christian (
Mr. Big,Mr. Big
David & David,David
James Brown And The Famous Flames,James Brown And The Famous Flames
John Davis And The Monster Orchestra,John Davis And The Monster Orchestra
Fats Domino,Fats Domino
The Searchers,The Searchers
Lutricia McNeal,Lutricia McNeal
Diamond Reo,Diamond Reo
Rick Astley,Rick Astley
The Allman Brothers Band,The Allman Brothers Band
Cole Swindell,Cole Swindell
"Nelly Featuring Kyjuan, Ali & Murphy Lee",Nelly
Ray And Bob,Ray And Bob
The Royal Guardsmen,The Royal Guardsmen
B.o.B Featuring Hayley Williams,B.o.B
Vincent Bell,Vincent Bell
Hudson and Landry,Hudson and Landry
Cowboy Copas,Cowboy Copas
Grateful Dead,Grateful Dead
Bobby Curtola,Bobby Curtola
The Guess Who,The Guess Who
Cher,Cher
Cilla Black,Cilla Black
Eivets Rednow,Eivets Rednow
Sergio Mendes,Sergio Mendes
Tracy Lawrence,Tracy Lawrence
Neil Sedaka,Neil Sedaka
Frankie Ford,Frankie Ford
Krewella,Krewella
P.O.D.,P.O.D.
Sia,Sia
Simple Minds,Simple Minds
James Darren,James Darren
Color Me Badd,Color Me Badd
Hoodie Allen Featuring Ed Sheeran,Hoodie Allen
Jimmy McGriff,Jimmy McGriff
Meghan Trainor,Meghan Trainor
Pretty In Pink,Pretty In Pink
Blessid Union Of Souls,Blessid Union Of Souls
Sister Sledge,Sister Sledge
Lisa Stansfield,Lisa Stansfield
Future Featuring Lil Uzi Vert,Future
Denine With Collage's Adam Marano,Denine
Future & Young Thug,Future
Moneybagg Yo X Megan Thee Stallion,Moneybagg Yo
Moneybagg Yo X Megan Thee Stallon,Moneybagg Yo
Chance The Rapper Featuring John Legend,Chance The Rapper
War,War
Monica,Monica
Five Star,Five Star
Janet,Janet
Juice WRLD,Juice WRLD
Nelly Furtado,Nelly Furtado
The Crystals,The Crystals
Charley Pride with Henry Mancini,Charley Pride
Trace Adkins,Trace Adkins
Etta James,Etta James
Troop,Troop
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",DJ Khaled
Chuck Wicks,Chuck Wicks
Rod Wave,Rod Wave
Jennifer Lopez Featuring LL Cool J,Jennifer Lopez
The Moments,The Moments
Bobbie Gentry & Glen Campbell,Bobbie Gentry
Backstreet Boys,Backstreet Boys
Garfunkel,Garfunkel
The Pointer Sisters,The Pointer Sisters
Fat Joe Featuring Tony Sunshine & Armageddon,Fat Joe
Jack Wagner,Jack Wagner
Mike + The Mechanics,Mike
Gladys Knight And The Pips,Gladys Knight And The Pips
Bette Midler,Bette Midler
A+,A
Howard Jones,Howard Jones
702,702
Mariah Carey,Mariah Carey
Michael Buble,Michael Buble
Carly Simon,Carly Simon
Sugarland,Sugarland
"Glenn Medeiros Featuring Ray Parker, Jr.",Glenn Medeiros
